"Unidade da Federação";"2019";"2020";"2021";"2022";"2023";"Total"
"23 Ceará";313001,52;733480,15;521854,17;938400,98;1112511,84;3619248,66
"24 Rio Grande do Norte";-;-;-;74623,62;113801,45;188425,07
"25 Paraíba";54131,00;56610,54;169874,79;154621,24;281613,10;716850,67
"26 Pernambuco";361135,32;1471505,41;2144325,59;1830416,83;2233050,70;8040433,85
"27 Alagoas";50743,66;-;-;39781,61;-;90525,27
"29 Bahia";-;-;-;-;78770,99;78770,99
"31 Minas Gerais";778487,66;3077169,32;3408519,84;3867663,81;4547164,32;15679004,95
"32 Espírito Santo";-;518174,84;224822,62;167368,12;202632,05;1112997,63
"33 Rio de Janeiro";82247,45;627888,40;943715,53;1042938,36;640622,41;3337412,15
"35 São Paulo";482484,96;5483513,26;4526684,16;4554936,44;3674934,80;18722553,62
"41 Paraná";52499,99;863427,39;512524,65;1208821,59;1437752,24;4075025,86
"42 Santa Catarina";70308,03;249966,22;253849,84;526316,11;379530,30;1479970,50
"43 Rio Grande do Sul";224887,39;704979,83;713142,65;903994,37;1193518,00;3740522,24
"50 Mato Grosso do Sul";-;104560,90;48732,92;-;37315,32;190609,14
"53 Distrito Federal";64457,94;1196260,48;1379510,56;1730706,69;1796954,47;6167890,14
"Total";2534384,92;15087536,74;14847557,32;17040589,77;17730171,99;67240240,74